czas_ms,hallValue,rpm
czas_ms, voltage, rpm
15000,2.50,392.00
30000,2.50,392.00
45000,2.50,388.00
60000,2.50,388.00
75000,2.50,392.00
90000,2.50,392.00
105000,2.50,392.00
120000,2.50,392.00
135000,2.50,392.00
150000,2.50,392.00
165000,2.50,392.00
180000,2.50,392.00
195000,2.50,388.00
210000,2.50,388.00
225000,2.50,392.00
240000,2.50,392.00
255000,2.50,392.00
270000,2.50,392.00
285000,2.50,392.00
300000,2.50,384.00
315000,2.50,392.00
330000,2.50,392.00
345000,2.50,392.00
360000,2.50,384.00
375000,2.50,392.00
390000,2.50,388.00
405000,2.50,392.00
420000,2.50,392.00
435000,2.50,388.00
450000,2.50,392.00
465000,2.50,384.00
480000,2.50,392.00
495000,2.50,384.00
510000,2.50,392.00
525000,2.50,384.00
540000,2.50,384.00
555000,2.50,392.00
570000,2.50,384.00
585000,2.50,384.00
600000,2.50,384.00
615000,2.50,384.00
630000,2.50,384.00
645000,2.50,384.00
660000,2.50,376.00
675000,2.50,384.00
690000,2.50,384.00
705000,2.50,384.00
720000,2.50,376.00
735000,2.50,384.00
750000,2.50,376.00
765000,2.50,384.00
780000,2.50,388.00
795000,2.50,384.00
810000,2.50,376.00
825000,2.50,384.00
840000,2.50,376.00
855000,2.50,384.00
870000,2.50,376.00
885000,2.50,380.00
900000,2.50,384.00
915000,2.50,376.00
930000,2.50,376.00
945000,2.50,380.00
960000,2.50,380.00
975000,2.50,380.00
990000,2.50,376.00
1005000,2.50,384.00
1020000,2.50,384.00
1035000,2.50,384.00
1050000,2.50,376.00
1065000,2.50,388.00
1080000,2.50,376.00
1095000,2.50,388.00
1110000,2.50,376.00
1125000,2.50,388.00
1140000,2.50,376.00
1155000,2.50,380.00
1170000,2.50,380.00
1185000,2.50,376.00
1200000,2.50,376.00
1215000,2.50,376.00
1230000,2.50,376.00
1245000,2.50,376.00
1260000,2.50,384.00
1275000,2.50,380.00
1290000,2.50,380.00
1305000,2.50,380.00
1320000,2.50,380.00
1335000,2.50,380.00
1350000,2.50,368.00
1365000,2.50,376.00
1380000,2.50,376.00
1395000,2.50,380.00
1410000,2.50,376.00
1425000,2.50,376.00
1440000,2.50,376.00
1455000,2.50,388.00
1470000,2.50,376.00
1485000,2.50,376.00
1500000,2.50,384.00
1515000,2.50,380.00
1530000,2.50,376.00
1545000,2.50,376.00
1560000,2.50,384.00
1575000,2.50,376.00
1590000,2.50,380.00
1605000,2.50,376.00
1620000,2.50,380.00
1635000,2.50,380.00
1650000,2.50,368.00
1665000,2.50,376.00
1680000,2.50,384.00
1695000,2.50,368.00
1710000,2.50,380.00
1725000,2.50,376.00
1740000,2.50,368.00
1755000,2.50,376.00
1770000,2.50,372.00
1785000,2.50,384.00
1800000,2.50,368.00
1815000,2.50,376.00
1830000,2.50,368.00
1845000,2.50,380.00
1860000,2.50,368.00
1875000,2.50,380.00
1890000,2.50,372.00
1905000,2.50,376.00
1920000,2.50,368.00
1935000,2.50,376.00
1950000,2.50,372.00
1965000,2.50,376.00
1980000,2.50,368.00
1995000,2.50,380.00
2010000,2.50,368.00
2025000,2.50,380.00
2040000,2.50,368.00
2055000,2.50,376.00
2070000,2.50,376.00
2085000,2.50,368.00
2100000,2.50,376.00
2115000,2.50,376.00
2130000,2.50,384.00
2145000,2.50,376.00
2160000,2.50,376.00
2175000,2.50,380.00
2190000,2.50,368.00
2205000,2.50,376.00
2220000,2.50,372.00
2235000,2.50,376.00
2250000,2.50,376.00
2265000,2.50,380.00
2280000,2.50,376.00
2295000,2.50,384.00
2310000,2.50,372.00
2325000,2.50,372.00
2340000,2.50,372.00
2355000,2.50,376.00
2370000,2.50,376.00
2385000,2.50,368.00
2400000,2.50,384.00
2415000,2.50,368.00
2430000,2.50,380.00
2445000,2.50,376.00
2460000,2.50,372.00
2475000,2.50,376.00
2490000,2.50,368.00
2505000,2.50,380.00
2520000,2.50,368.00
2535000,2.50,380.00
2550000,2.50,368.00
2565000,2.50,372.00
2580000,2.50,376.00
2595000,2.50,376.00
2610000,2.50,372.00
2625000,2.50,376.00
2640000,2.50,372.00
2655000,2.50,368.00
2670000,2.50,380.00
2685000,2.50,376.00
2700000,2.50,372.00
2715000,2.50,368.00
2730000,2.50,376.00
